time_s,segment_range,active_range_carla,active_range_model,setpoint_carla_mps,setpoint_model_mps,speed_carla_mps,speed_model_mps,throttle_carla,throttle_model,brake_carla,brake_model,u_carla,u_model
1.2800,low,low,low,0.0000,0.0000,0.0019,4.8655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.2900,low,low,low,0.0000,0.0000,0.0017,4.8468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3000,low,low,low,0.0000,0.0000,0.0016,4.8281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3100,low,low,low,0.0000,0.0000,0.0014,4.8096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3200,low,low,low,0.0000,0.0000,0.0013,4.7910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3300,low,low,low,0.0000,0.0000,0.0012,4.7726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3400,low,low,low,0.0000,0.0000,0.0011,4.7542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3500,low,low,low,0.0000,0.0000,0.0010,4.7359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3600,low,low,low,0.0000,0.0000,0.0010,4.7176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3700,low,low,low,0.0000,0.0000,0.0009,4.6994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3800,low,low,low,0.0000,0.0000,0.0008,4.6812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.3900,low,low,low,0.0000,0.0000,0.0007,4.6631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4000,low,low,low,0.0000,0.0000,0.0007,4.6451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4100,low,low,low,0.0000,0.0000,0.0006,4.6271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4200,low,low,low,0.0000,0.0000,0.0006,4.6092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4300,low,low,low,0.0000,0.0000,0.0005,4.5913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4400,low,low,low,0.0000,0.0000,0.0005,4.5735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4500,low,low,low,0.0000,0.0000,0.0004,4.5557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4600,low,low,low,0.0000,0.0000,0.0004,4.5380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4700,low,low,low,0.0000,0.0000,0.0004,4.5204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.4800,low,low,low,0.0000,0.0000,0.0003,4.5028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
